,start_date,venue,innings,batting_team,bowling_team,total_runs
117,2009-04-18,Newlands,2,Chennai Super Kings,Mumbai Indians,145
118,2009-04-18,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,129
119,2009-04-18,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,58
120,2009-04-19,Newlands,1,Kings XI Punjab,Delhi Daredevils,104
121,2009-04-19,Newlands,2,Delhi Daredevils,Kings XI Punjab,58
122,2009-04-19,Newlands,1,Kolkata Knight Riders,Deccan Chargers,101
123,2009-04-19,Newlands,2,Deccan Chargers,Kolkata Knight Riders,104
124,2009-04-20,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,179
125,2009-04-20,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,87
126,2009-04-21,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,157
127,2009-04-21,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,79
128,2009-04-22,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,184
129,2009-04-22,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,160
130,2009-04-23,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,189
131,2009-04-23,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,180
132,2009-04-23,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,150
133,2009-04-23,Newlands,2,Kolkata Knight Riders,Rajasthan Royals,149
134,2009-04-24,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,168
135,2009-04-24,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,173
136,2009-04-25,Kingsmead,1,Deccan Chargers,Mumbai Indians,168
137,2009-04-25,Kingsmead,2,Mumbai Indians,Deccan Chargers,156
138,2009-04-26,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,148
139,2009-04-26,St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,150
140,2009-04-26,Newlands,1,Kings XI Punjab,Rajasthan Royals,137
141,2009-04-26,Newlands,2,Rajasthan Royals,Kings XI Punjab,112
142,2009-04-27,Kingsmead,1,Chennai Super Kings,Deccan Chargers,165
143,2009-04-27,Kingsmead,2,Deccan Chargers,Chennai Super Kings,169
144,2009-04-27,St George's Park,1,Mumbai Indians,Kolkata Knight Riders,187
145,2009-04-27,St George's Park,2,Kolkata Knight Riders,Mumbai Indians,95
146,2009-04-28,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,143
147,2009-04-28,SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,147
148,2009-04-29,Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,139
149,2009-04-29,Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,143
150,2009-04-29,Kingsmead,1,Kings XI Punjab,Mumbai Indians,119
151,2009-04-29,Kingsmead,2,Mumbai Indians,Kings XI Punjab,115
152,2009-04-30,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,148
153,2009-04-30,SuperSport Park,2,Delhi Daredevils,Deccan Chargers,150
154,2009-04-30,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,164
155,2009-04-30,SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,126
156,2009-05-01,Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,148
157,2009-05-01,Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,139
158,2009-05-01,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,143
159,2009-05-01,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,137
160,2009-05-02,St George's Park,1,Deccan Chargers,Rajasthan Royals,141
161,2009-05-02,St George's Park,2,Rajasthan Royals,Deccan Chargers,142
162,2009-05-02,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,163
163,2009-05-02,New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,145
164,2009-05-03,St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,153
165,2009-05-03,St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,154
166,2009-05-03,New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,148
167,2009-05-03,New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,150
168,2009-05-04,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,176
169,2009-05-04,Buffalo Park,2,Deccan Chargers,Chennai Super Kings,100
170,2009-05-05,Kingsmead,1,Rajasthan Royals,Kings XI Punjab,211
171,2009-05-05,Kingsmead,2,Kings XI Punjab,Rajasthan Royals,133
172,2009-05-05,Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,154
173,2009-05-05,Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,157
174,2009-05-06,SuperSport Park,1,Deccan Chargers,Mumbai Indians,145
175,2009-05-06,SuperSport Park,2,Mumbai Indians,Deccan Chargers,126
176,2009-05-07,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,105
177,2009-05-07,SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,107
178,2009-05-07,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,185
179,2009-05-07,SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,174
180,2009-05-08,Buffalo Park,1,Mumbai Indians,Delhi Daredevils,116
181,2009-05-08,Buffalo Park,2,Delhi Daredevils,Mumbai Indians,118
182,2009-05-09,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,167
183,2009-05-09,De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,169
184,2009-05-09,De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,139
185,2009-05-09,De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,141
186,2009-05-10,St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,155
187,2009-05-10,St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,140
188,2009-05-10,New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,123
189,2009-05-10,New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,125
190,2009-05-11,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,166
191,2009-05-11,De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,113
192,2009-05-12,SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,166
193,2009-05-12,SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,176
194,2009-05-12,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,119
195,2009-05-12,SuperSport Park,2,Mumbai Indians,Kings XI Punjab,122
196,2009-05-13,Kingsmead,1,Delhi Daredevils,Deccan Chargers,167
197,2009-05-13,Kingsmead,2,Deccan Chargers,Delhi Daredevils,161
198,2009-05-14,Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,129
199,2009-05-14,Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,132
200,2009-05-14,Kingsmead,1,Rajasthan Royals,Mumbai Indians,145
201,2009-05-14,Kingsmead,2,Mumbai Indians,Rajasthan Royals,143
202,2009-05-15,OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,120
203,2009-05-15,OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,123
204,2009-05-16,St George's Park,1,Mumbai Indians,Chennai Super Kings,147
205,2009-05-16,St George's Park,2,Chennai Super Kings,Mumbai Indians,151
206,2009-05-16,New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,160
207,2009-05-16,New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,156
208,2009-05-17,New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,133
209,2009-05-17,New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,131
210,2009-05-17,OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,150
211,2009-05-17,OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,136
212,2009-05-18,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,187
213,2009-05-18,SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,189
214,2009-05-19,New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,134
215,2009-05-19,New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,135
216,2009-05-20,Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,101
217,2009-05-20,Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,102
218,2009-05-20,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,116
219,2009-05-20,Kingsmead,2,Kings XI Punjab,Chennai Super Kings,92
220,2009-05-21,SuperSport Park,1,Mumbai Indians,Delhi Daredevils,161
221,2009-05-21,SuperSport Park,2,Delhi Daredevils,Mumbai Indians,166
222,2009-05-21,SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,170
223,2009-05-21,SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,158
224,2009-05-22,SuperSport Park,1,Delhi Daredevils,Deccan Chargers,153
225,2009-05-22,SuperSport Park,2,Deccan Chargers,Delhi Daredevils,154
226,2009-05-23,New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,146
227,2009-05-23,New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,149
228,2009-05-24,New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,143
229,2009-05-24,New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,137
230,2010-03-12,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,161
231,2010-03-12,Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,150
232,2010-03-13,Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,212
233,2010-03-13,Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,207
234,2010-03-13,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,142
235,2010-03-13,"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,146
236,2010-03-14,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,135
237,2010-03-14,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,136
238,2010-03-14,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,188
239,2010-03-14,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,158
240,2010-03-15,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,137
241,2010-03-15,"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,142
242,2010-03-16,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,200
243,2010-03-16,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,204
244,2010-03-16,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,164
245,2010-03-16,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,109
246,2010-03-17,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,218
247,2010-03-17,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,120
248,2010-03-18,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,92
249,2010-03-18,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,93
250,2010-03-19,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,185
251,2010-03-19,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,190
252,2010-03-19,Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,170
253,2010-03-19,Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,164
254,2010-03-20,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,168
255,2010-03-20,"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,134
256,2010-03-20,Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,151
257,2010-03-20,Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,155
258,2010-03-21,Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,171
259,2010-03-21,Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,161
260,2010-03-21,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,134
261,2010-03-21,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,136
262,2010-03-22,Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,155
263,2010-03-22,Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,156
264,2010-03-23,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,171
265,2010-03-23,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,135
266,2010-03-24,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,183
267,2010-03-24,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,152
268,2010-03-25,Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,179
269,2010-03-25,Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,181
270,2010-03-26,"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,148
271,2010-03-26,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,151
272,2010-03-27,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,183
273,2010-03-27,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,144
274,2010-03-25,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,183
275,2010-03-25,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,166
276,2010-03-28,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,177
277,2010-03-28,"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,160
278,2010-03-28,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,171
279,2010-03-28,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,131
280,2010-03-29,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,177
281,2010-03-29,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,137
282,2010-03-30,Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,163
283,2010-03-30,Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,164
284,2010-03-31,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,161
285,2010-03-31,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,162
286,2010-03-31,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,188
287,2010-03-31,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,121
288,2010-04-01,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,181
289,2010-04-01,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,157
290,2010-04-02,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,180
291,2010-04-02,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,184
292,2010-04-03,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,242
293,2010-04-03,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,223
294,2010-04-03,Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,178
295,2010-04-03,Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,115
296,2010-04-04,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,196
297,2010-04-04,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,204
298,2010-04-04,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,184
299,2010-04-04,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,147
300,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,159
301,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,157
302,2010-04-06,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,165
303,2010-04-06,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,141
304,2010-04-07,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,153
305,2010-04-07,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,157
306,2010-04-07,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,181
307,2010-04-07,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,167
308,2010-04-08,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,184
309,2010-04-08,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,186
310,2010-04-09,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,154
311,2010-04-09,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,158
312,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,138
313,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,139
314,2010-04-10,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,159
315,2010-04-10,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,162
316,2010-04-11,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,111
317,2010-04-11,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,112
318,2010-04-11,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,174
319,2010-04-11,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,137
320,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,151
321,2010-04-12,"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,138
322,2010-04-13,Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,183
323,2010-04-13,Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,144
324,2010-04-13,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,138
325,2010-04-13,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,143
326,2010-04-14,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,130
327,2010-04-14,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,132
328,2010-04-15,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,112
329,2010-04-15,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,113
330,2010-04-16,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Deccan Chargers,174
331,2010-04-16,Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Kings XI Punjab,178
332,2010-04-17,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,191
333,2010-04-17,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,134
334,2010-04-17,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,132
335,2010-04-17,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,133
336,2010-04-18,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,192
337,2010-04-18,Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,195
338,2010-04-18,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,145
339,2010-04-18,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,134
340,2010-04-19,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,133
341,2010-04-19,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,135
342,2010-04-21,Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,183
343,2010-04-21,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,148
344,2010-04-22,Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,142
345,2010-04-22,Dr DY Patil Sports Academy,2,Deccan Chargers,Chennai Super Kings,104
346,2010-04-24,Dr DY Patil Sports Academy,1,Deccan Chargers,Royal Challengers Bangalore,82
347,2010-04-24,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Deccan Chargers,86
348,2010-04-25,Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,166
349,2010-04-25,Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,146
350,2011-04-08,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,153
351,2011-04-08,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,151
352,2011-04-09,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,137
353,2011-04-09,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,141
354,2011-04-09,Nehru Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,161
355,2011-04-09,Nehru Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,162
356,2011-04-10,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,95
357,2011-04-10,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,99
358,2011-04-10,Dr DY Patil Sports Academy,1,Kings XI Punjab,Pune Warriors,112
359,2011-04-10,Dr DY Patil Sports Academy,2,Pune Warriors,Kings XI Punjab,113
360,2011-04-11,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,163
361,2011-04-11,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,148
362,2011-04-12,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,147
363,2011-04-12,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,152
364,2011-04-12,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,138
365,2011-04-12,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,143
366,2011-04-13,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,188
367,2011-04-13,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,193
368,2011-04-13,Dr DY Patil Sports Academy,1,Kochi Tuskers Kerala,Pune Warriors,147
369,2011-04-13,Dr DY Patil Sports Academy,2,Pune Warriors,Kochi Tuskers Kerala,151
370,2011-04-14,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,175
371,2011-04-14,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,141
372,2011-04-15,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,158
373,2011-04-15,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,160
374,2011-04-15,Wankhede Stadium,1,Mumbai Indians,Kochi Tuskers Kerala,182
375,2011-04-15,Wankhede Stadium,2,Kochi Tuskers Kerala,Mumbai Indians,184
376,2011-04-16,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,183
377,2011-04-16,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,162
378,2011-04-16,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,165
379,2011-04-16,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,166
380,2011-04-17,Dr DY Patil Sports Academy,1,Pune Warriors,Delhi Daredevils,181
381,2011-04-17,Dr DY Patil Sports Academy,2,Delhi Daredevils,Pune Warriors,190
382,2011-04-17,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,81
383,2011-04-17,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,85
384,2011-04-18,Nehru Stadium,1,Chennai Super Kings,Kochi Tuskers Kerala,131
385,2011-04-18,Nehru Stadium,2,Kochi Tuskers Kerala,Chennai Super Kings,135
386,2011-04-19,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,168
387,2011-04-19,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,152
388,2011-04-20,Wankhede Stadium,1,Pune Warriors,Mumbai Indians,118
389,2011-04-20,Wankhede Stadium,2,Mumbai Indians,Pune Warriors,124
390,2011-04-20,Eden Gardens,1,Kochi Tuskers Kerala,Kolkata Knight Riders,132
391,2011-04-20,Eden Gardens,2,Kolkata Knight Riders,Kochi Tuskers Kerala,126
392,2011-04-21,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,195
393,2011-04-21,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,147
394,2011-04-22,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,164
395,2011-04-22,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,156
396,2011-04-22,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,171
397,2011-04-22,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,175
398,2011-04-23,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,230
399,2011-04-23,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,202
400,2011-04-24,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,172
401,2011-04-24,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,135
402,2011-04-24,Sawai Mansingh Stadium,1,Kochi Tuskers Kerala,Rajasthan Royals,109
403,2011-04-24,Sawai Mansingh Stadium,2,Rajasthan Royals,Kochi Tuskers Kerala,111
404,2011-04-25,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,142
405,2011-04-25,"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,117
406,2011-04-26,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,159
407,2011-04-26,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,161
408,2011-04-27,Dr DY Patil Sports Academy,1,Pune Warriors,Chennai Super Kings,141
409,2011-04-27,Dr DY Patil Sports Academy,2,Chennai Super Kings,Pune Warriors,145
410,2011-04-27,Nehru Stadium,1,Deccan Chargers,Kochi Tuskers Kerala,129
411,2011-04-27,Nehru Stadium,2,Kochi Tuskers Kerala,Deccan Chargers,74
412,2011-04-28,Feroz Shah Kotla,1,Kolkata Knight Riders,Delhi Daredevils,148
413,2011-04-28,Feroz Shah Kotla,2,Delhi Daredevils,Kolkata Knight Riders,131
414,2011-04-29,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,94
415,2011-04-29,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,95
416,2011-04-29,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,181
417,2011-04-29,M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,155
418,2011-04-30,Nehru Stadium,1,Delhi Daredevils,Kochi Tuskers Kerala,157
419,2011-04-30,Nehru Stadium,2,Kochi Tuskers Kerala,Delhi Daredevils,119
420,2011-04-30,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,119
